Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	97
1	56
2	47
3	45
4	38
5	34
6	35
7	32
8	29
9	27
10	25
11	23
12	22
13	21
14	20
15	19
16	18
17	17
18	16
19	16
20	15
21	14
22	15
23	15
24	14
25	14
26	14
27	13
28	13
29	13
30	13
31	12
32	12
33	12
34	13
35	13
36	12
37	12
38	12
39	12
40	11
41	11
42	11
43	11
44	11
45	11
46	10
47	10
48	10
49	10
50	10
51	10
52	10
53	10
54	10
55	10
56	10
57	10
58	10
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	8
72	9
73	9
74	9
75	9
76	9
77	9
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	9
91	9
92	9
93	9
94	10
95	9
96	9
97	9
98	9
99	9
