Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	74
40	43
40	44
40	35
40	29
40	26
40	27
40	25
40	22
40	22
40	21
40	19
40	19
40	18
40	17
40	16
40	16
40	15
40	15
40	14
40	14
40	13
40	13
40	12
40	12
40	12
40	12
40	12
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	9
