Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	89
1	57
2	51
3	41
4	33
5	31
6	34
7	31
8	28
9	27
10	25
11	24
12	22
13	21
14	20
15	19
16	18
17	18
18	17
19	17
20	16
21	16
22	16
23	15
24	15
25	14
26	14
27	14
28	13
29	13
30	13
31	12
32	12
33	12
34	11
35	11
36	11
37	11
38	11
39	10
40	11
41	11
42	11
43	10
44	10
45	10
46	10
47	10
48	10
49	10
50	10
51	9
52	9
53	9
54	9
55	9
56	9
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	9
77	9
78	9
79	9
80	9
81	9
82	9
83	9
84	9
85	8
86	8
87	9
88	9
89	9
90	9
91	9
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
