Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	97
40	74
40	56
40	44
40	36
40	37
40	36
40	32
40	29
40	27
40	25
40	23
40	22
40	20
40	20
40	19
40	18
40	17
40	16
40	18
40	17
40	17
40	16
40	16
40	16
40	15
40	15
40	14
40	14
40	14
40	14
40	13
40	13
40	13
40	13
40	12
40	12
40	12
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	9
40	10
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	8
40	8
40	8
40	8
40	8
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	10
40	10
40	10
40	9
40	9
40	9
40	9
40	9
