Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	47
1	29
2	21
3	18
4	15
5	16
6	17
7	26
8	32
9	31
10	31
11	29
12	28
13	26
14	25
15	27
16	26
17	25
18	24
19	23
20	22
21	22
22	21
23	21
24	20
25	20
26	20
27	19
28	19
29	18
30	18
31	18
32	18
33	18
34	18
35	18
36	17
37	17
38	17
39	17
40	16
41	16
42	16
43	16
44	16
45	16
46	16
47	16
48	15
49	15
50	15
51	15
52	15
53	15
54	14
55	14
56	14
57	14
58	14
59	13
60	13
61	13
62	13
63	13
64	13
65	13
66	12
67	12
68	12
69	12
70	12
71	12
72	12
73	12
74	12
75	11
76	11
77	11
78	11
79	11
80	11
81	11
82	11
83	11
84	10
85	10
86	10
87	10
88	10
89	10
90	10
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
