Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	70
1	61
2	44
3	35
4	30
5	31
6	28
7	27
8	25
9	23
10	21
11	19
12	18
13	18
14	17
15	16
16	15
17	14
18	16
19	15
20	15
21	15
22	14
23	14
24	14
25	13
26	13
27	13
28	13
29	12
30	12
31	13
32	12
33	12
34	12
35	12
36	11
37	11
38	11
39	11
40	11
41	10
42	10
43	10
44	10
45	10
46	10
47	10
48	10
49	10
50	10
51	10
52	10
53	9
54	9
55	9
56	9
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	9
77	8
78	8
79	8
80	8
81	9
82	9
83	9
84	9
85	9
86	9
87	9
88	10
89	10
90	10
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	9
99	9
