Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	32
40	20
40	17
40	14
40	13
40	13
40	13
40	12
40	11
40	11
40	15
40	14
40	13
40	13
40	13
40	13
40	13
40	12
40	12
40	12
40	12
40	12
40	12
40	13
40	13
40	13
40	13
40	12
40	12
40	12
40	12
40	12
40	12
40	12
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	8
