Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	47
1	26
2	19
3	16
4	14
5	13
6	12
7	11
8	10
9	10
10	9
11	11
12	10
13	10
14	9
15	9
16	8
17	8
18	8
19	7
20	7
21	7
22	7
23	6
24	6
25	6
26	6
27	6
28	6
29	5
30	5
31	5
32	5
33	5
34	5
35	5
36	5
37	5
38	5
39	4
40	4
41	4
42	4
43	4
44	4
45	4
46	4
47	4
48	4
49	4
50	4
51	4
52	4
53	4
54	4
55	4
56	4
57	4
58	3
59	3
60	3
61	3
62	3
63	3
64	3
65	3
66	3
67	3
68	3
69	3
70	3
71	3
72	3
73	3
74	3
75	3
76	3
77	3
78	3
79	3
80	3
81	3
82	3
83	3
84	3
85	3
86	3
87	3
88	3
89	3
90	3
91	3
92	3
93	3
94	3
95	3
96	3
97	3
98	3
99	3
Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	70
1	51
2	40
3	31
4	28
5	24
6	22
7	23
8	22
9	20
10	20
11	19
12	17
13	16
14	16
15	16
16	15
17	14
18	14
19	14
20	14
21	14
22	14
23	14
24	13
25	13
26	12
27	12
28	12
29	12
30	11
31	12
32	11
33	11
34	11
35	11
36	10
37	10
38	10
39	10
40	10
41	10
42	9
43	9
44	9
45	9
46	9
47	9
48	9
49	9
50	9
51	9
52	9
53	9
54	9
55	8
56	8
57	9
58	9
59	9
60	9
61	9
62	9
63	8
64	8
65	8
66	8
67	8
68	8
69	8
70	8
71	8
72	8
73	8
74	8
75	8
76	8
77	8
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	9
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
