Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	94
1	57
2	41
3	33
4	27
5	28
6	26
7	25
8	22
9	21
10	19
11	18
12	16
13	16
14	15
15	15
16	15
17	15
18	14
19	13
20	13
21	12
22	13
23	12
24	12
25	11
26	11
27	11
28	11
29	12
30	11
31	11
32	11
33	11
34	11
35	10
36	10
37	10
38	10
39	10
40	10
41	10
42	9
43	9
44	9
45	9
46	9
47	9
48	9
49	9
50	9
51	9
52	9
53	9
54	9
55	9
56	9
57	9
58	9
59	8
60	8
61	8
62	8
63	8
64	8
65	8
66	8
67	8
68	8
69	8
70	8
71	8
72	8
73	8
74	8
75	8
76	8
77	8
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	9
89	9
90	9
91	9
92	9
93	8
94	8
95	8
96	8
97	8
98	8
99	8
