Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	29
40	16
40	13
40	11
40	9
40	10
40	9
40	9
40	8
40	8
40	9
40	8
40	8
40	8
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	10
40	10
40	11
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
