Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	76
1	44
2	32
3	26
4	26
5	35
6	42
7	38
8	35
9	34
10	34
11	32
12	30
13	30
14	31
15	32
16	30
17	29
18	28
19	27
20	26
21	26
22	25
23	24
24	24
25	23
26	23
27	22
28	22
29	21
30	21
31	21
32	21
33	21
34	20
35	20
36	20
37	20
38	19
39	19
40	19
41	18
42	18
43	18
44	18
45	19
46	19
47	18
48	18
49	18
50	18
51	18
52	17
53	17
54	17
55	17
56	16
57	16
58	16
59	16
60	16
61	15
62	15
63	15
64	15
65	15
66	14
67	14
68	14
69	14
70	14
71	14
72	13
73	13
74	13
75	13
76	13
77	13
78	13
79	13
80	12
81	12
82	12
83	12
84	12
85	12
86	12
87	12
88	12
89	12
90	12
91	12
92	11
93	11
94	11
95	11
96	11
97	11
98	11
99	11
