Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	47
40	26
40	19
40	16
40	14
40	13
40	12
40	11
40	10
40	10
40	9
40	11
40	10
40	10
40	9
40	9
40	8
40	8
40	8
40	7
40	7
40	7
40	7
40	6
40	6
40	6
40	6
40	6
40	6
40	5
40	5
40	5
40	5
40	5
40	5
40	5
40	5
40	5
40	5
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	70
40	51
40	40
40	31
40	28
40	24
40	22
40	23
40	22
40	20
40	20
40	19
40	17
40	16
40	16
40	16
40	15
40	14
40	14
40	14
40	14
40	14
40	14
40	14
40	13
40	13
40	12
40	12
40	12
40	12
40	11
40	12
40	11
40	11
40	11
40	11
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	8
40	8
40	9
40	9
40	9
40	9
40	9
40	9
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	8
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
