Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	71
1	45
2	46
3	37
4	30
5	27
6	30
7	27
8	27
9	26
10	24
11	23
12	22
13	21
14	20
15	19
16	18
17	17
18	17
19	16
20	16
21	17
22	16
23	16
24	16
25	15
26	15
27	14
28	14
29	14
30	14
31	13
32	13
33	13
34	13
35	13
36	13
37	13
38	12
39	12
40	12
41	12
42	12
43	12
44	11
45	11
46	11
47	11
48	11
49	10
50	10
51	10
52	10
53	10
54	10
55	10
56	10
57	10
58	10
59	10
60	10
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	9
77	9
78	9
79	9
80	9
81	9
82	9
83	9
84	9
85	9
86	8
87	8
88	8
89	8
90	8
91	8
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
