Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	97
1	74
2	56
3	44
4	36
5	37
6	36
7	32
8	29
9	27
10	25
11	23
12	22
13	20
14	20
15	19
16	18
17	17
18	16
19	18
20	17
21	17
22	16
23	16
24	16
25	15
26	15
27	14
28	14
29	14
30	14
31	13
32	13
33	13
34	13
35	12
36	12
37	12
38	12
39	11
40	11
41	11
42	11
43	11
44	11
45	10
46	10
47	10
48	10
49	10
50	10
51	10
52	10
53	9
54	9
55	9
56	10
57	10
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	9
77	9
78	9
79	9
80	8
81	8
82	8
83	8
84	8
85	9
86	9
87	9
88	9
89	9
90	9
91	9
92	10
93	10
94	10
95	9
96	9
97	9
98	9
99	9
