Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	72
1	39
2	29
3	24
4	22
5	21
6	20
7	28
8	30
9	29
10	32
11	33
12	31
13	30
14	29
15	31
16	29
17	28
18	27
19	26
20	25
21	25
22	24
23	23
24	23
25	23
26	22
27	22
28	22
29	21
30	21
31	21
32	20
33	20
34	20
35	20
36	20
37	20
38	19
39	19
40	19
41	19
42	18
43	18
44	18
45	18
46	18
47	18
48	17
49	17
50	17
51	16
52	16
53	16
54	16
55	15
56	15
57	15
58	15
59	15
60	14
61	14
62	14
63	14
64	14
65	14
66	14
67	13
68	13
69	13
70	13
71	13
72	13
73	13
74	13
75	13
76	12
77	12
78	12
79	12
80	12
81	12
82	12
83	12
84	12
85	12
86	11
87	11
88	11
89	11
90	11
91	11
92	11
93	11
94	11
95	11
96	11
97	11
98	11
99	11
