Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	32
1	18
2	14
3	14
4	12
5	12
6	11
7	11
8	10
9	11
10	10
11	10
12	10
13	9
14	9
15	12
16	11
17	11
18	11
19	10
20	11
21	11
22	11
23	11
24	11
25	11
26	11
27	12
28	13
29	13
30	13
31	13
32	12
33	12
34	12
35	12
36	12
37	12
38	12
39	11
40	11
41	11
42	11
43	11
44	11
45	11
46	12
47	12
48	11
49	12
50	11
51	11
52	11
53	11
54	11
55	11
56	11
57	11
58	11
59	10
60	10
61	10
62	10
63	10
64	10
65	10
66	10
67	10
68	10
69	10
70	10
71	10
72	10
73	10
74	10
75	10
76	10
77	10
78	10
79	10
80	10
81	10
82	10
83	10
84	10
85	9
86	9
87	9
88	9
89	9
90	9
91	9
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
