Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	10
40	8
40	7
40	7
40	7
40	6
40	6
40	6
40	6
40	6
40	6
40	7
40	7
40	8
40	8
40	8
40	8
40	8
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	8
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	8
40	8
40	8
40	7
40	7
40	8
40	8
40	7
40	8
40	8
40	8
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	6
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
40	7
