Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	107
1	70
2	49
3	41
4	38
5	37
6	34
7	31
8	28
9	26
10	24
11	23
12	22
13	21
14	19
15	19
16	18
17	18
18	17
19	17
20	17
21	16
22	15
23	15
24	15
25	14
26	14
27	14
28	13
29	14
30	14
31	13
32	13
33	13
34	12
35	12
36	12
37	12
38	12
39	11
40	11
41	11
42	11
43	11
44	11
45	11
46	11
47	11
48	10
49	10
50	10
51	10
52	10
53	10
54	10
55	10
56	10
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	10
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	9
77	9
78	9
79	9
80	9
81	9
82	9
83	9
84	9
85	10
86	10
87	10
88	10
89	10
90	10
91	10
92	10
93	10
94	9
95	9
96	9
97	9
98	9
99	9
