Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	74
1	43
2	44
3	35
4	29
5	26
6	27
7	25
8	22
9	22
10	21
11	19
12	19
13	18
14	17
15	16
16	16
17	15
18	15
19	14
20	14
21	13
22	13
23	12
24	12
25	12
26	12
27	12
28	12
29	11
30	11
31	11
32	11
33	11
34	11
35	11
36	11
37	11
38	10
39	10
40	10
41	10
42	10
43	10
44	10
45	10
46	10
47	10
48	10
49	10
50	9
51	9
52	9
53	9
54	9
55	9
56	9
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	8
65	8
66	8
67	8
68	8
69	8
70	8
71	8
72	8
73	8
74	8
75	8
76	8
77	8
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	8
92	8
93	8
94	8
95	8
96	8
97	8
98	8
99	9
